0,屋号,営業所所在地,営業所所在地ビル名,営業者氏名,営業者住所,営業の種類,申請区分,営業所電話番号,初回許可日,営業者電話番号,代表者氏名
72,(株)道光建設,東京都あきる野市山田３８０番地２,,サンコー食品株式会社,神奈川県大和市下鶴間２７７４番地１３,飲食店営業(集団給食),新規,042-696-6070,2017/12/26,046-278-1228,田上　幸夫
73,はまぐぁー　どんち,東京都あきる野市山田５４４番地４,,,,飲食店営業(一般飲食店),更新,042-596-2488,2005/3/10,,
74,はまぐぁー　どんち,東京都あきる野市山田５４４番地４,,,,菓子製造業(その他の菓子製造業),更新,042-596-2488,2005/3/23,,
75,セブンイレブン　あきる野増戸店,東京都あきる野市山田５５３番地１,,,,飲食店営業(一般飲食店),新規,042-596-4119,2017/9/8,,
76,セブンイレブン　あきる野増戸店,東京都あきる野市山田５５３番地１,,,,乳類販売業(ショーケース売り),新規,042-596-4119,2017/9/8,,
77,セブンイレブン　あきる野増戸店,東京都あきる野市山田５５３番地１,,,,食肉販売業(包装),新規,042-596-4119,2017/9/8,,
78,セブンイレブン　あきる野増戸店,東京都あきる野市山田５５３番地１,,,,魚介類販売業(包装),新規,042-596-4119,2017/9/8,,
79,セブンイレブン　あきる野増戸店,東京都あきる野市山田５５３番地１,,,,食料品等販売業(店舗),新規,042-596-4119,2017/9/8,,
80,家庭料理　むう,東京都あきる野市山田９５６番地６,,,,飲食店営業(一般飲食店),新規,042-595-0885,2017/4/5,,
81,炭焼きステーキハウス　ジョージ,東京都あきる野市秋川１丁目１４番９,,有限会社ジョージ,東京都八王子市中野山王２丁目８番９号,飲食店営業(一般飲食店),更新,042-559-0129,2003/7/23,042-627-1629,取締役　橋本　常二
82,ファミリーマートあきる野滝山街道店,東京都あきる野市秋川１丁目１５番地１,,株式会社柚木商事,東京都西多摩郡瑞穂町大字箱根ケ崎４６１番地３,菓子製造業(その他の菓子製造業),新規,,2017/5/1,042-321-9512,柚木　克也
83,鳥貴族　秋川店,東京都あきる野市秋川１丁目１番地１,第９中山秋川駅前ビル２階,株式会社鳥貴族,大阪市浪速区立葉一丁目２番１２号,飲食店営業(一般飲食店),新規,042-518-7044,2017/2/16,,大倉　忠司
84,魚民,東京都あきる野市秋川１丁目７番地２,神田秋川駅前ビル１階,株式会社モンテローザフーズ,東京都新宿区歌舞伎町１丁目２１番１号,飲食店営業(一般飲食店),更新,042-550-6388,2010/2/16,0422-36-8888,大神　輝博
85,ウッディセブン,東京都あきる野市秋川１丁目８番地,ルピア,,,菓子製造業(生菓子製造業),更新,042-550-8844,2011/2/22,,
86,スナック恵子,東京都あきる野市秋川２丁目１０番地２,,,,飲食店営業(一般飲食店),更新,042-559-0333,1994/9/1,,
87,パブスナック　慶,東京都あきる野市秋川２丁目１０番地８,,,,飲食店営業(一般飲食店),更新,042-558-4882,1998/1/1,,
88,江戸一,東京都あきる野市秋川２丁目１２番地３,,,,飲食店営業(すし屋),新規,042-559-1821,2017/6/28,,
89,okibenya  ななかまど,東京都あきる野市秋川２丁目１９番地４,,,,飲食店営業(弁当屋),新規,,2017/6/2,,
90,ファミリーマート秋川駅前店,東京都あきる野市秋川２丁目１番地１,,株式会社こうとく,東京都日野市多摩平三丁目２番地の１,菓子製造業(その他の菓子製造業),新規,042-532-4431,2017/4/27,042-514-9261,藤嶋　耕徳
91,馬い鶏,東京都あきる野市秋川２丁目１番地６,キャッスル田村１F西側,株式会社ａｔｏｋａｂｕ,東京都あきる野市草花１０８５番地１,飲食店営業(一般飲食店),新規,042-595-5669,2017/6/6,,越地　真也
92,豊後高田どり酒場,東京都あきる野市秋川２丁目１番地６,キャッスル田村　２階,株式会社モンテローザフーズ,東京都新宿区歌舞伎町１丁目２１番１号,飲食店営業(一般飲食店),更新,042-550-6488,2002/4/8,0422-36-8888,大神　輝博
93,すみやき家　串陣　秋川店,東京都あきる野市秋川２丁目６番地１０,田村ビル１階,株式会社ケイエヌシステム,東京都立川市高松町３丁目８番４号ファーレＴＫＴビル７階,飲食店営業(一般飲食店),新規,042-550-4855,2017/4/19,042-548-4194,苗村　淳一朗
94,インド食堂　マハトマ,東京都あきる野市秋川２丁目７番地１,第２神田ビル秋川駅前２Ｆ,AAYUSH　CORPORATION株式会社,東京都江戸川区南小岩八丁目26番1号,飲食店営業(一般飲食店),新規,042-550-6966,2017/3/22,,ダーカル　ルペス
95,炭火珈琲青蛾珈房,東京都あきる野市秋川２丁目７番地７,メディオ秋川２Ｆ,,,飲食店営業(一般飲食店),更新,042-550-0454,1996/7/4,,
96,ＲＥＳＴＡＵＲＡＮＴ＆ＢＡＲ　CLIMB,東京都あきる野市秋川２丁目８番地１,ラセットストーン１階,,,飲食店営業(一般飲食店),新規,042-550-5547,2017/2/6,,
97,レストラン　ＭＩＳＯＮＯ,東京都あきる野市秋川３丁目８番地６,サンハイツナガツカ　１F,,,飲食店営業(一般飲食店),更新,042-559-1803,2005/6/29,,
98,ヴァッカス,東京都あきる野市秋川４丁目１２番地４,,,,飲食店営業(一般飲食店),新規,042-550-7787,2017/9/4,,
99,手打ちうどん　”タカ”,東京都あきる野市秋川４丁目１４番地２０,,,,めん類製造業,更新,042-550-5630,2005/7/15,,
100,天芳,東京都あきる野市秋川４丁目１８番地１０,,,,飲食店営業(一般飲食店),新規,042-559-2015,2017/8/1,,
101,秋川市場,東京都あきる野市秋川４丁目５番地８,,,,食料品等販売業(包装),更新,042-559-9222,1998/12/28,,
102,小川家,東京都あきる野市秋川５丁目１０番地１,,,,飲食店営業(そば屋),更新,042-559-2678,1987/10/12,,
103,SILK,東京都あきる野市秋川５丁目１１番地５,,有限会社シルク,東京都あきる野市秋川５丁目１１番地５,飲食店営業(一般飲食店),更新,042-558-4346,2011/11/10,042-558-4346,石井　康友
104,海山,東京都あきる野市秋川５丁目９番地１６,,有限会社　REAL　DEAL,東京都あきる野市切欠１９５４番地,飲食店営業(一般飲食店),更新,042-518-7163,2010/4/20,042-558-7162,平野　泰三
105,魚屋路　秋川店,東京都あきる野市秋川６丁目１６番地１,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,飲食店営業(すし屋),更新,042-532-7101,2010/5/26,,崎田　晴義
106,バーミヤン　秋川店,東京都あきる野市秋川６丁目３番地２,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,飲食店営業(一般飲食店),更新,042-532-7229,1998/2/1,,崎田　晴義
107,夢庵　秋川店,東京都あきる野市秋川６丁目３番地３,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,飲食店営業(一般飲食店),更新,042-559-3611,1994/8/1,,崎田　晴義
108,ひらの,東京都あきる野市秋留１丁目４番地１,,,,飲食店営業(そば屋),更新,042-550-6475,1998/12/8,,
109,ファミリーマートあきる野秋留店,東京都あきる野市秋留３丁目３番地５,,株式会社F・スタイル,山梨県中巨摩郡昭和町清水新居１５０５番地,菓子製造業(その他の菓子製造業),新規,042-532-8810,2017/5/1,055-221-0062,深沢　邦夫
110,燈々庵,東京都あきる野市小川６３３番地,,株式会社  黒茶屋,東京都あきる野市小中野１６７番地,飲食店営業(一般飲食店),更新,042-559-8080,1998/4/1,042-596-0129,髙水  謙二
111,セブン－イレブン　あきる野二宮店,東京都あきる野市小川７３４番地１,,有限会社　ディリーサービス,東京都あきる野市小川７３４番地１,飲食店営業(一般飲食店),更新,042-550-4211,2011/2/21,042-550-4211,松本　修
112,セブン－イレブン　あきる野二宮店,東京都あきる野市小川７３４番地１,,有限会社　ディリーサービス,東京都あきる野市小川７３４番地１,乳類販売業(ショーケース売り),更新,042-550-4211,2011/2/21,042-550-4211,松本　修
113,セブン－イレブン　あきる野二宮店,東京都あきる野市小川７３４番地１,,有限会社　ディリーサービス,東京都あきる野市小川７３４番地１,食肉販売業(包装),更新,042-550-4211,2011/2/21,042-550-4211,松本　修
114,セブン－イレブン　あきる野二宮店,東京都あきる野市小川７３４番地１,,有限会社　ディリーサービス,東京都あきる野市小川７３４番地１,魚介類販売業(包装),更新,042-550-4211,2011/2/21,042-550-4211,松本　修
115,セブン－イレブン　あきる野二宮店,東京都あきる野市小川７３４番地１,,有限会社　ディリーサービス,東京都あきる野市小川７３４番地１,食料品等販売業(店舗),更新,042-550-4211,2011/2/21,042-550-4211,松本　修
116,グリル＆バー　MIMOSA,東京都あきる野市小川東３丁目９番地１,第２レジデンス睦１０６号,株式会社さくらウェルフェア,東京都あきる野市小川東１丁目２１番地１０９,飲食店営業(一般飲食店),更新,042-533-3466,2011/8/2,042-558-1631,櫻井　里枝
117,むつみ寿し,東京都あきる野市小川東３丁目９番地１,,,,飲食店営業(すし屋),更新,042-558-2240,1991/7/25,,
118,オトノコーヒー,東京都あきる野市小中野１４１番地,,,,飲食店営業(一般飲食店),更新,042-588-5321,2011/5/30,,
119,株式会社  黒茶屋,東京都あきる野市小中野１６７番地,,株式会社黒茶屋,東京都あきる野市小中野１６７番地,飲食店営業(一般飲食店),更新,042-596-0129,1984/6/9,042-596-0129,髙水  謙二
120,株式会社  黒茶屋,東京都あきる野市小中野１６７番地,,株式会社黒茶屋,東京都あきる野市小中野１６７番地,そうざい製造業,更新,042-596-0129,2010/7/1,042-596-0129,高水　謙二
121,定食屋　とんとん,東京都あきる野市小中野３６７番地１,,,,飲食店営業(一般飲食店),新規,042-588-5832,2017/4/18,,
122,定食屋　とんとん,東京都あきる野市小中野３６７番地１,,,,菓子製造業(生菓子製造業),新規,042-588-5832,2017/6/21,,
123,ファミリーマートあきる野檜原街道店,東京都あきる野市小中野３７８番地,,,,菓子製造業(その他の菓子製造業),新規,,2017/4/26,,
124,有限会社　松村商店,東京都あきる野市小中野９９番地,,有限会社  松村商店,東京都あきる野市小中野１１６番地,食肉処理業,更新,042-596-0253,1986/2/8,042-596-0253,松村　和夫
125,有限会社　松村商店,東京都あきる野市小中野９９番地,,有限会社  松村商店,東京都あきる野市小中野１１６番地,食肉販売業(一般),更新,042-596-0253,1983/11/15,042-596-0253,松村　和夫
126,ハーベスト株式会社　横河マニュファクチャリング店,東京都あきる野市小峰台２番地,,ハーベスト株式会社,横浜市保土ヶ谷区岩間町二丁目１２０番地,飲食店営業(集団給食),更新,042-595-2200,2010/1/5,045-336-1100,脇本　実
127,C店,東京都あきる野市上代継６００番地,,株式会社東京サマーランド,東京都あきる野市上代継字白岩６００番地,飲食店営業(一般飲食店),更新,042-558-6511,1999/4/22,042-558-6511,山口　一久
128,パーク厨房,東京都あきる野市上代継６００番地,,株式会社東京サマーランド,東京都あきる野市上代継字白岩６００番地,飲食店営業(そうざい店),更新,042-558-6517,2011/9/27,042-558-6511,山口　一久
129,深沢小さな美術館,東京都あきる野市深沢４９２番地,,,,飲食店営業(一般飲食店),更新,042-595-0336,2005/9/22,,
130,コスモホーム事業所 食堂,東京都あきる野市菅生１１５９番地,,株式会社 セントラルフーズ,東京都世田谷区桜２丁目２２番１２号,飲食店営業(集団給食),更新,042-558-7010,2003/2/13,03-3428-1321,狩野　昭
131,ローソンあきる野瀬戸岡店,東京都あきる野市瀬戸岡１４８番地４,,有限会社マイサークル,東京都あきる野市二宮東２丁目６番地１４,飲食店営業(一般飲食店),更新,042-550-7571,1999/8/25,042-558-2339,丸山　大介
132,ローソンあきる野瀬戸岡店,東京都あきる野市瀬戸岡１４８番地４,,有限会社マイサークル,東京都あきる野市二宮東２丁目６番地１４,乳類販売業(ショーケース売り),更新,042-550-7571,1999/8/25,042-558-2339,丸山　大介
133,ローソンあきる野瀬戸岡店,東京都あきる野市瀬戸岡１４８番地４,,有限会社マイサークル,東京都あきる野市二宮東２丁目６番地１４,食肉販売業(包装),更新,042-550-7571,1999/8/25,042-558-2339,丸山　大介
134,ローソンあきる野瀬戸岡店,東京都あきる野市瀬戸岡１４８番地４,,有限会社マイサークル,東京都あきる野市二宮東２丁目６番地１４,魚介類販売業(包装),更新,042-550-7571,1999/8/25,042-558-2339,丸山　大介
135,ローソンあきる野瀬戸岡店,東京都あきる野市瀬戸岡１４８番地４,,有限会社マイサークル,東京都あきる野市二宮東２丁目６番地１４,食料品等販売業(店舗),更新,042-550-7571,1999/8/25,042-558-2339,丸山　大介
136,カフェ＆ギャラリー　ＬＡＮＫＡ,東京都あきる野市瀬戸岡２３８番地１,,,,飲食店営業(一般飲食店),更新,042-550-3036,2005/8/18,,
137,白神こだま酵母パン　てるてるぼうず,東京都あきる野市瀬戸岡５２９番地,,,,菓子製造業(パン製造業),更新,042-558-6484,2011/11/15,,
138,あきる野翔裕館,東京都あきる野市草花１４８１番地１,,株式会社関東サンガ,埼玉県さいたま市大宮区桜木町四丁目２５２番地,飲食店営業(仕出し屋),新規,042-550-6591,2017/4/21,048-613-8463,浅香　誠一郎
139,香（シャン）,東京都あきる野市草花１４８８番地,,,,飲食店営業(一般飲食店),更新,,2005/2/1,,
140,そら,東京都あきる野市草花２６９番地１１,,,,飲食店営業(一般飲食店),更新,042-558-7222,2011/5/25,,
141,季の味,東京都あきる野市草花２９４４番地,,,,飲食店営業(弁当屋),更新,042-558-7511,2011/4/22,,
142,季の味,東京都あきる野市草花２９４４番地,,,,菓子製造業(その他の菓子製造業),更新,042-558-7511,2011/4/22,,
143,季の味,東京都あきる野市草花２９４４番地,,,,そうざい製造業,更新,042-558-7511,2011/4/22,,
144,季の味,東京都あきる野市草花２９４４番地,,,,つけ物製造業,更新,042-558-7511,2011/4/22,,
145,ファミリーマートあきる野草花店,東京都あきる野市草花３０７４番地１,,,,菓子製造業(その他の菓子製造業),新規,042-532-3391,2017/5/9,,
146,クリスタル,東京都あきる野市草花７０１番地,,,,飲食店営業(一般飲食店),更新,042-559-8596,2005/9/21,,
147,Chiffon(シフォン)　さくら,東京都あきる野市二宮１０４１番地,,,,飲食店営業(一般飲食店),更新,042-559-7524,2005/4/20,,
148,Chiffon(シフォン)　さくら,東京都あきる野市二宮１０４１番地,,,,菓子製造業(生菓子製造業),更新,042-559-7524,2005/4/20,,
149,鳥千代,東京都あきる野市二宮１０８９番地,,,,飲食店営業(一般飲食店),更新,,1968/12/5,,
150,シャロ,東京都あきる野市二宮１０８９番地114,,,,飲食店営業(一般飲食店),新規,,2017/12/26,,
151,エベレスト　トップ　ダイニング,東京都あきる野市二宮１１０１番地２,,株式会社ブッダインクジャパン,東京都福生市大字熊川１４９２番地１２仲村ビル１階,飲食店営業(一般飲食店),新規,042-559-7799,2017/7/19,042-551-8300,ギリ　ラム　クマル
152,スナック　雅ょ,東京都あきる野市二宮１１５６番地１２,,,,飲食店営業(一般飲食店),更新,042-595-5195,2011/8/19,,
153,有限会社  和風潮,東京都あきる野市二宮１１６４番地,,有限会社  和風潮,東京都あきる野市二宮１１６４番地,飲食店営業(一般飲食店),更新,042-558-2312,1989/3/20,042-558-2312,山本　喜美雄
154,鷲峰山　不動院　玉泉寺　テララホール内,東京都あきる野市二宮２２６５番地,,,,飲食店営業(一般飲食店),新規,,2017/8/9,,
155,有限会社　菊屋,東京都あきる野市二宮２３０９番地,,有限会社　菊屋,東京都あきる野市二宮２３０９番地イ号地,菓子製造業(生菓子製造業),更新,042-558-2201,2005/1/25,042-558-2201,井上　泰樹
156,秋川ファーマーズセンター,東京都あきる野市二宮８１１番地,,秋川農業協同組合,東京都あきる野市秋川３丁目１番地１,乳類販売業(ショーケース売り),更新,042-559-1600,2011/6/1,042-559-5111,坂本　勇
157,株式会社マサダ製作所　社員食堂,東京都あきる野市二宮東２丁目１番地１,,協同組合多摩給食センター,東京都羽村市神明台２丁目５番地３６,飲食店営業(集団給食),更新,042-559-1111,1991/7/12,042-554-1002,清水　通生
158,秋葉農園,東京都あきる野市平沢７２９番地,,,,粉末食品製造業,更新,042-558-6326,2004/12/16,,
159,まんぷく食堂,東京都あきる野市平沢東１丁目８番地２,,株式会社湘南フーズ,神奈川県伊勢原市石田５８７番地,飲食店営業(一般飲食店),新規,,2017/12/21,0463-92-6632,松本　圭史
160,東京五日市カントリー倶楽部,東京都あきる野市網代７４５番地,,株式会社　五日市カンツリー倶楽部,東京都あきる野市網代７４５番地,飲食店営業(一般飲食店),更新,042-595-0111,2005/4/1,042-595-0111,田　幹夫
161,ごんにんごん　野辺店,東京都あきる野市野辺３９４番地,,,,飲食店営業(弁当屋),更新,042-559-2318,1993/1/1,,
162,秀栄堂本舗,東京都あきる野市野辺４５７番地,,,,菓子製造業(生菓子製造業),更新,042-558-6810,1965/12/14,,
